date,time,symbol,expiry,strike,put_call,side,spot,size,price,premium,sweep_block_split,volume,open_int,conds
02/09/2024,04:14:57 PM,SPY,03/01/2024,500,put,bid,501.05,260,$3.78,$98.3K,sweep,2760,1258,
02/09/2024,04:14:50 PM,SPY,03/15/2024,500,call,bid,501.05,400,$8.61,$344.4K,sweep,8135,30806,
02/09/2024,04:14:45 PM,SPY,02/12/2024,499,put,bid,501.04,800,$0.41,$32.8K,sweep,89877,4037,
02/09/2024,04:14:35 PM,SPY,02/16/2024,498,put,ask,501.03,206,$1.43,$29.5K,split,21078,5474,
02/09/2024,04:14:34 PM,SPY,02/12/2024,501,put,bid,501.03,311,$1.04,$32.3K,sweep,73905,59,opening
02/09/2024,04:14:34 PM,SPY,02/12/2024,499,put,bid,501.05,752,$0.41,$30.8K,sweep,89073,4037,
02/09/2024,04:14:25 PM,SPY,02/16/2024,500,put,bid,501.05,199,$2.09,$41.6K,split,37208,7764,
02/09/2024,04:12:33 PM,SPY,04/19/2024,474,put,bid,501.10,500,$2.84,$142K,split,4398,42027,
02/09/2024,04:12:29 PM,SPY,02/12/2024,499,put,ask,501.09,935,$0.40,$37.4K,sweep,87145,4037,
02/09/2024,04:12:29 PM,SPY,02/12/2024,500,put,ask,501.09,454,$0.64,$29.1K,sweep,100440,1413,
02/09/2024,04:12:11 PM,SPY,03/15/2024,500,put,ask,501.10,449,$5.65,$253.7K,sweep,23306,13725,
02/09/2024,04:11:29 PM,SPY,02/12/2024,500,put,bid,501.12,615,$0.63,$38.7K,sweep,99312,1413,
02/09/2024,04:11:19 PM,SPY,02/12/2024,501,put,bid,501.12,250,$1.00,$25K,block,73192,59,opening
02/09/2024,04:11:10 PM,SPY,02/15/2024,499,put,bid,501.10,204,$1.50,$30.6K,sweep,3199,379,
02/09/2024,04:09:59 PM,SPY,03/15/2024,492,put,ask,501.12,392,$3.21,$125.8K,sweep,5564,3663,
02/09/2024,04:09:42 PM,SPY,02/13/2024,502,put,bid,501.08,200,$2.30,$46K,sweep,7644,472,
02/09/2024,04:09:35 PM,SPY,03/15/2024,490,put,bid,501.05,150,$2.81,$42.2K,sweep,8123,32039,
02/09/2024,04:09:33 PM,SPY,02/16/2024,501,call,bid,501.07,378,$3.15,$119.1K,sweep,39621,37848,
02/09/2024,04:09:29 PM,SPY,02/16/2024,496,put,bid,501.02,6136,$0.98,$601.3K,sweep,20023,3791,opening
02/09/2024,04:09:29 PM,SPY,02/16/2024,495,put,mid,501.01,4279,$0.81,$346.7K,sweep,41460,13400,
02/09/2024,04:07:58 PM,SPY,04/19/2024,474,put,ask,501.00,952,$2.87,$273.2K,sweep,4089,42027,
02/09/2024,04:07:46 PM,SPY,04/19/2024,474,put,mid,501.00,2548,$2.86,$728.8K,sweep,3126,42027,
02/09/2024,04:07:23 PM,SPY,02/16/2024,492,put,bid,501.00,1387,$0.47,$65.2K,sweep,48397,15264,
02/09/2024,04:07:10 PM,SPY,02/16/2024,492,put,bid,500.99,15156,$0.47,$712.3K,sweep,47010,15264,
02/09/2024,04:07:00 PM,SPY,02/16/2024,505,call,bid,500.99,686,$1.38,$94.7K,sweep,32865,17050,
02/09/2024,04:04:13 PM,SPY,02/16/2024,507,call,ask,501.00,461,$0.83,$38.3K,sweep,8857,1349,
02/09/2024,04:04:07 PM,SPY,04/30/2024,480,put,mid,501.01,500,$4.07,$203.5K,block,762,4699,
02/09/2024,04:04:00 PM,SPY,02/12/2024,502,put,ask,501.06,216,$1.55,$33.5K,block,14695,385,
02/09/2024,04:03:56 PM,SPY,03/01/2024,511,call,bid,501.09,354,$1.69,$59.8K,split,467,29,opening
02/09/2024,04:03:52 PM,SPY,02/16/2024,500,put,ask,501.09,275,$2.11,$58K,sweep,36249,7764,
02/09/2024,04:03:31 PM,SPY,02/16/2024,506,call,ask,501.12,1000,$1.11,$111K,sweep,13125,9179,
02/09/2024,04:03:29 PM,SPY,04/30/2024,550,call,bid,501.13,1000,$0.45,$45K,block,2459,1261,
02/09/2024,04:03:29 PM,SPY,04/30/2024,519,call,ask,501.13,500,$5.02,$251K,sweep,1191,13,opening
02/09/2024,04:02:46 PM,SPY,02/16/2024,507,call,ask,501.11,768,$0.85,$65.3K,sweep,8395,1349,
02/09/2024,04:02:41 PM,SPY,02/12/2024,501,call,ask,501.12,300,$1.22,$36.6K,sweep,130640,3705,
02/09/2024,04:02:38 PM,SPY,02/12/2024,500,put,ask,501.14,656,$0.64,$42K,sweep,97183,1413,
02/09/2024,04:02:34 PM,SPY,05/17/2024,465,put,bid,501.14,1000,$3.26,$326K,sweep,5407,16784,
02/09/2024,04:01:58 PM,SPY,02/21/2024,505,call,bid,501.05,152,$2.01,$30.6K,split,6270,0,opening
02/09/2024,04:01:43 PM,SPY,02/12/2024,502,call,ask,501.02,407,$0.69,$28.1K,sweep,77936,3056,
02/09/2024,04:01:43 PM,SPY,02/12/2024,501,call,ask,501.02,474,$1.15,$54.5K,sweep,130530,3705,
02/09/2024,04:01:43 PM,SPY,02/12/2024,500,put,ask,501.02,377,$0.67,$25.3K,sweep,96137,1413,
02/09/2024,04:01:18 PM,SPY,02/12/2024,498,put,ask,501.04,930,$0.26,$25.1K,sweep,58434,4773,
02/09/2024,04:00:25 PM,SPY,02/12/2024,505,call,bid,501.18,3569,$0.10,$35.7K,sweep,41726,4300,
02/09/2024,04:00:24 PM,SPY,02/13/2024,499,put,ask,501.16,257,$1.01,$26K,split,15902,1478,
02/09/2024,04:00:20 PM,SPY,02/16/2024,477,put,bid,501.23,2481,$0.11,$27.3K,sweep,15554,20681,
02/09/2024,04:00:15 PM,SPY,04/19/2024,468,put,bid,501.22,400,$2.31,$92.4K,split,1633,12672,
02/09/2024,04:00:09 PM,SPY,02/23/2024,490,put,bid,501.17,376,$0.77,$29K,sweep,6012,5787,
02/09/2024,04:00:07 PM,SPY,02/23/2024,490,put,bid,501.12,420,$0.77,$32.3K,sweep,5636,5787,
02/09/2024,04:00:06 PM,SPY,02/16/2024,500,put,ask,501.11,250,$2.10,$52.5K,block,35737,7764,
02/09/2024,04:00:04 PM,SPY,02/23/2024,490,put,ask,501.09,904,$0.77,$69.6K,sweep,5216,5787,
02/09/2024,04:00:03 PM,SPY,02/16/2024,500,put,mid,501.08,199,$2.11,$42K,block,35487,7764,
02/09/2024,04:00:03 PM,SPY,02/14/2024,502,call,ask,501.08,305,$1.88,$57.3K,sweep,13940,5319,
02/09/2024,04:00:03 PM,SPY,02/16/2024,501,call,mid,501.08,209,$3.16,$66.1K,sweep,38671,37848,
02/09/2024,04:00:02 PM,SPY,02/15/2024,502,call,above,501.05,177,$2.30,$40.8K,sweep,4152,479,
02/09/2024,04:00:02 PM,SPY,02/16/2024,505,call,mid,501.05,465,$1.39,$64.7K,sweep,31993,17050,
02/09/2024,04:00:02 PM,SPY,02/12/2024,500,put,above,501.05,407,$0.66,$27.3K,sweep,95415,1413,
02/09/2024,04:00:02 PM,SPY,02/12/2024,501,put,above,501.06,536,$1.04,$55.8K,sweep,69773,59,opening
02/09/2024,04:00:02 PM,SPY,02/12/2024,503,call,mid,501.09,869,$0.40,$35.6K,sweep,63044,1294,
02/09/2024,04:00:02 PM,SPY,02/12/2024,502,call,mid,501.09,535,$0.72,$38.7K,sweep,76685,3056,
02/09/2024,04:00:02 PM,SPY,02/12/2024,501,call,mid,501.09,804,$1.18,$95.2K,sweep,129406,3705,
02/09/2024,04:00:02 PM,SPY,02/16/2024,501,call,bid,501.09,198,$3.17,$62.8K,sweep,38462,37848,
02/09/2024,04:00:01 PM,SPY,02/14/2024,500,put,mid,501.08,177,$1.66,$29.5K,sweep,12325,453,
02/09/2024,04:00:01 PM,SPY,02/13/2024,504,call,mid,501.10,368,$0.80,$29.7K,sweep,9478,1528,
02/09/2024,04:00:00 PM,SPY,02/16/2024,501,call,below,501.17,500,$3.19,$159.6K,sweep,38263,37848,
02/09/2024,03:59:58 PM,SPY,05/17/2024,450,put,ask,501.11,215,$2.24,$48.2K,sweep,1466,7650,
02/09/2024,03:59:53 PM,SPY,01/17/2025,505,put,ask,501.23,200,$23.67,$473.4K,block,228,2477,
